model_year,manufacturer,model,engine_displacement,cylinders,city_fuel_efficiency,highway_fuel_efficiency,combined_fuel_efficiency,annual_fuel_cost,co2_emissions
2021,Toyota,LC 500 CONVERTIBLE,5.0,8,15,25,18,2700,489
2021,Toyota,LC 500,5.0,8,16,25,19,2550,473
2021,Toyota,LC 500h,3.5,6,26,34,29,1700,303
2021,Toyota,RC 300,2.0,4,21,31,25,1950,357
2021,Toyota,RC 300 AWD,3.5,6,19,26,22,2200,407
2021,Toyota,RC 350,3.5,6,20,28,23,2100,385
2021,Toyota,RC 350 AWD,3.5,6,19,26,22,2200,407
2021,Toyota,RC F,5.0,8,16,24,19,2550,459
2021,Toyota,IS 300,2.0,4,21,31,25,1950,357
2021,Toyota,IS 300 AWD,3.5,6,19,26,22,2200,407
2021,Toyota,IS 350,3.5,6,20,28,23,2100,385
2021,Toyota,IS 350 AWD,3.5,6,19,26,22,2200,407
2021,Toyota,UX 250h,2.0,4,43,41,42,950,209
2021,Toyota,UX 250h AWD,2.0,4,41,38,39,1050,225
2021,Toyota,C-HR,2.0,4,27,31,29,1400,305
2021,Toyota,COROLLA,1.8,4,30,38,33,1250,267
2021,Toyota,COROLLA,1.8,4,29,39,33,1250,271
2021,Toyota,COROLLA,2.0,4,31,40,34,1200,257
2021,Toyota,COROLLA,2.0,4,29,36,32,1250,277
2021,Toyota,COROLLA APEX,2.0,4,31,38,34,1200,264
2021,Toyota,COROLLA APEX,2.0,4,28,36,31,1300,286
2021,Toyota,COROLLA HATCHBACK,2.0,4,32,41,35,1150,251
2021,Toyota,COROLLA HATCHBACK MANUAL,2.0,4,28,37,31,1300,284
2021,Toyota,COROLLA HATCHBACK XSE,2.0,4,30,38,33,1250,266
2021,Toyota,COROLLA HYBRID,1.8,4,53,52,52,800,170
2021,Toyota,COROLLA XLE,1.8,4,29,37,32,1250,274
2021,Toyota,COROLLA XSE,2.0,4,31,38,34,1200,265
2021,Toyota,ES 250 AWD,2.5,4,25,34,28,1450,315
2021,Toyota,ES 300h,2.5,4,43,44,44,900,202
2021,Toyota,ES 350,3.5,6,22,32,26,1550,346
2021,Toyota,ES 350 F SPORT,3.5,6,22,31,25,1600,352
2021,Toyota,LS 500,3.4,6,18,29,22,2200,399
2021,Toyota,LS 500 AWD,3.4,6,17,27,21,2300,432
2021,Toyota,LS 500h,3.5,6,25,33,28,1750,314
2021,Toyota,LS 500h AWD,3.5,6,23,29,26,1900,343
2021,Toyota,UX 200,2.0,4,29,37,32,1250,271
2021,Toyota,AVALON,3.5,6,22,31,25,1600,352
2021,Toyota,AVALON AWD,2.5,4,25,34,28,1450,315
2021,Toyota,AVALON HYBRID,2.5,4,43,43,43,950,203
2021,Toyota,AVALON HYBRID XLE,2.5,4,43,44,44,900,201
2021,Toyota,AVALON TRD,3.5,6,21,30,25,1600,361
2021,Toyota,AVALON XLE,3.5,6,22,32,26,1550,341
